"filename", "language", "SCSS", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_buttonNew.scss", "SCSS", 140, 6, 15, 161
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_buttons.scss", "SCSS", 59, 1, 7, 67
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_container.scss", "SCSS", 10, 6, 4, 20
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_helper.scss", "SCSS", 26, 0, 13, 39
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_main.scss", "SCSS", 91, 15, 10, 116
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_scrollbar.scss", "SCSS", 19, 4, 3, 26
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_vars.scss", "SCSS", 56, 5, 16, 77
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_buttons.scss", "SCSS", 85, 50, 9, 144
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_main.scss", "SCSS", 58, 9, 8, 75
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_scrollbar.scss", "SCSS", 14, 4, 3, 21
"c:\xampp\htdocs\fd\resources\css\themes\theme2\_vars.scss", "SCSS", 29, 2, 9, 40
"Total", "-", 13843, 2282, 1004, 17129
