"filename", "language", "SCSS", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\css\PUBLIC\converter\toolBar\bottomBar\_text.scss", "SCSS", 71, 0, 2, 4, 77
"c:\xampp\htdocs\fd\resources\css\PUBLIC\imprint\imprint.scss", "SCSS", 79, 0, 12, 7, 98
"c:\xampp\htdocs\fd\resources\css\PUBLIC\index\_overlay.scss", "SCSS", 240, 0, 1, 9, 250
"c:\xampp\htdocs\fd\resources\css\PUBLIC\index\index.scss", "SCSS", 246, 0, 103, 17, 366
"c:\xampp\htdocs\fd\resources\css\PUBLIC\login\login.scss", "SCSS", 86, 0, 1, 8, 95
"c:\xampp\htdocs\fd\resources\css\PUBLIC\paymentComplete\paymentComplete.scss", "SCSS", 80, 0, 129, 21, 230
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\profile.scss", "SCSS", 34, 0, 82, 22, 138
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_AccountInformation.scss", "SCSS", 64, 0, 6, 3, 73
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_Adresses.scss", "SCSS", 3, 0, 63, 2, 68
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_Designs.scss", "SCSS", 17, 0, 4, 2, 23
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_Images.scss", "SCSS", 56, 0, 7, 2, 65
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_Orders.scss", "SCSS", 13, 0, 0, 2, 15
"c:\xampp\htdocs\fd\resources\css\PUBLIC\profile\subPages\_Sparks.scss", "SCSS", 1, 0, 0, 0, 1
"c:\xampp\htdocs\fd\resources\css\designs\designs.scss", "SCSS", 318, 0, 8, 38, 364
"c:\xampp\htdocs\fd\resources\css\general\CookieBanner\_CookieBanner.scss", "SCSS", 270, 0, 20, 13, 303
"c:\xampp\htdocs\fd\resources\css\general\Footer\FooterDesktop.scss", "SCSS", 53, 0, 12, 2, 67
"c:\xampp\htdocs\fd\resources\css\general\Footer\FooterMobile.scss", "SCSS", 63, 0, 1, 2, 66
"c:\xampp\htdocs\fd\resources\css\general\NavigationBar\_NavigationBar.scss", "SCSS", 390, 0, 46, 18, 454
"c:\xampp\htdocs\fd\resources\css\general\_3D.scss", "SCSS", 22, 0, 2, 3, 27
"c:\xampp\htdocs\fd\resources\css\general\_buttons.scss", "SCSS", 65, 0, 10, 7, 82
"c:\xampp\htdocs\fd\resources\css\general\_cursor.scss", "SCSS", 30, 0, 2, 1, 33
"c:\xampp\htdocs\fd\resources\css\general\_main.scss", "SCSS", 258, 0, 55, 26, 339
"c:\xampp\htdocs\fd\resources\css\general\_mediaQueries.scss", "SCSS", 21, 0, 49, 29, 99
"c:\xampp\htdocs\fd\resources\css\general\fontfaces.scss", "SCSS", 63, 0, 79, 13, 155
"c:\xampp\htdocs\fd\resources\css\general\fonts.scss", "SCSS", 1020, 0, 126, 150, 1296
"c:\xampp\htdocs\fd\resources\css\imageMenu\_imageMenu.scss", "SCSS", 12, 0, 2, 4, 18
"c:\xampp\htdocs\fd\resources\css\imageMenu\_imageMenuDesktop.scss", "SCSS", 274, 0, 60, 15, 349
"c:\xampp\htdocs\fd\resources\css\imageMenu\_imageMenuMobile.scss", "SCSS", 361, 0, 49, 20, 430
"c:\xampp\htdocs\fd\resources\css\other\icons.scss", "SCSS", 14, 0, 1, 2, 17
"c:\xampp\htdocs\fd\resources\css\productInformation\_productInformation.scss", "SCSS", 56, 0, 1, 6, 63
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_buttonNew.scss", "SCSS", 140, 0, 6, 15, 161
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_buttons.scss", "SCSS", 59, 0, 1, 7, 67
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_container.scss", "SCSS", 10, 0, 6, 4, 20
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_helper.scss", "SCSS", 26, 0, 0, 13, 39
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_main.scss", "SCSS", 91, 0, 15, 10, 116
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_scrollbar.scss", "SCSS", 19, 0, 4, 3, 26
"c:\xampp\htdocs\fd\resources\css\themes\theme1\_vars.scss", "SCSS", 56, 0, 5, 16, 77
