"filename", "language", "CSS", "SCSS", "PHP", "JavaScript", "JSON", "Log", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\DataBase\UserData.js", "JavaScript", 0, 0, 0, 142, 0, 0, 0, 13, 155
"c:\xampp\htdocs\fd\resources\js\Designs\DesignHelper.js", "JavaScript", 0, 0, 0, 33, 0, 0, 0, 3, 36
"c:\xampp\htdocs\fd\resources\js\Designs\DesignMenu.js", "JavaScript", 0, 0, 0, 280, 0, 0, 9, 34, 323
"c:\xampp\htdocs\fd\resources\js\Designs\Hashtags\Hashtags.js", "JavaScript", 0, 0, 0, 192, 0, 0, 27, 23, 242
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageHelper.js", "JavaScript", 0, 0, 0, 52, 0, 0, 1, 4, 57
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenu.js", "JavaScript", 0, 0, 0, 202, 0, 0, 34, 37, 273
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenuFilter.js", "JavaScript", 0, 0, 0, 122, 0, 0, 1, 23, 146
"c:\xampp\htdocs\fd\resources\js\Email\Email.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\xampp\htdocs\fd\resources\js\Eventhandler.js", "JavaScript", 0, 0, 0, 126, 0, 0, 42, 30, 198
"c:\xampp\htdocs\fd\resources\js\GLOBAL\Icons.js", "JavaScript", 0, 0, 0, 50, 0, 0, 0, 13, 63
"c:\xampp\htdocs\fd\resources\js\GLOBAL\Paths.js", "JavaScript", 0, 0, 0, 177, 0, 0, 21, 51, 249
"c:\xampp\htdocs\fd\resources\js\GLOBAL\balance.js", "JavaScript", 0, 0, 0, 27, 0, 0, 0, 2, 29
"c:\xampp\htdocs\fd\resources\js\GLOBAL\collector.js", "JavaScript", 0, 0, 0, 164, 0, 0, 2, 11, 177
"c:\xampp\htdocs\fd\resources\js\GLOBAL\global_Helper.js", "JavaScript", 0, 0, 0, 837, 0, 0, 75, 72, 984
