"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarStandard.js", "JavaScript", 155, 9, 9, 173
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarText.js", "JavaScript", 91, 9, 13, 113
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextButtons.js", "JavaScript", 109, 0, 13, 122
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\bottomBarTextFontFamilyMenu.js", "JavaScript", 44, 0, 5, 49
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\bottom\draw\helper.js", "JavaScript", 53, 23, 9, 85
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\ImageParts.js", "JavaScript", 68, 0, 0, 68
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\drawParts\TextParts.js", "JavaScript", 77, 14, 10, 101
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\LighterSettings.js", "JavaScript", 132, 1, 13, 146
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\ImageElement_desktop.js", "JavaScript", 200, 12, 17, 229
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\image\toolBarImage.js", "JavaScript", 97, 1, 4, 102
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\sideBar.js", "JavaScript", 65, 0, 2, 67
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop copy.js", "JavaScript", 280, 10, 28, 318
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\TextElement_desktop.js", "JavaScript", 0, 265, 30, 295
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\side\text\toolBarText.js", "JavaScript", 79, 1, 4, 84
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\toolBar.js", "JavaScript", 39, 2, 4, 45
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\ImageTools.js", "JavaScript", 23, 0, 2, 25
"c:\xampp\htdocs\fd\resources\js\Converter\toolBar\tools\TextTools.js", "JavaScript", 46, 3, 1, 50
"c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorker.js", "JavaScript", 38, 48, 11, 97
"c:\xampp\htdocs\fd\resources\js\Converter\worker\_ConverterWorkerHelper.js", "JavaScript", 69, 11, 9, 89
"c:\xampp\htdocs\fd\resources\js\Designs\CategoryHelper.js", "JavaScript", 24, 0, 0, 24
"c:\xampp\htdocs\fd\resources\js\Designs\DesignHelper.js", "JavaScript", 82, 0, 4, 86
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageHelper.js", "JavaScript", 58, 1, 4, 63
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenu.js", "JavaScript", 208, 27, 20, 255
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\ImageMenuFilter.js", "JavaScript", 37, 0, 2, 39
"c:\xampp\htdocs\fd\resources\js\Designs\ImageMenu\Unsplash.js", "JavaScript", 142, 15, 6, 163
"c:\xampp\htdocs\fd\resources\js\Email\Email.js", "JavaScript", 17, 0, 1, 18
"c:\xampp\htdocs\fd\resources\js\Eventhandler.js", "JavaScript", 92, 2, 6, 100
"c:\xampp\htdocs\fd\resources\js\Footer.js", "JavaScript", 80, 0, 3, 83
"c:\xampp\htdocs\fd\resources\js\GLOBAL\Paths.js", "JavaScript", 95, 6, 33, 134
"c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelper.js", "JavaScript", 140, 1, 4, 145
"c:\xampp\htdocs\fd\resources\js\Helper\ProjectsHelperDesign.js", "JavaScript", 48, 0, 1, 49
"c:\xampp\htdocs\fd\resources\js\Login\LoginHelper.js", "JavaScript", 67, 25, 8, 100
"c:\xampp\htdocs\fd\resources\js\NavigationBar.js", "JavaScript", 123, 3, 6, 132
"c:\xampp\htdocs\fd\resources\js\Orders\Order.js", "JavaScript", 95, 0, 6, 101
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cart.js", "JavaScript", 21, 6, 4, 31
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cartList.js", "JavaScript", 118, 33, 15, 166
"c:\xampp\htdocs\fd\resources\js\Pages\cart\cartRight.js", "JavaScript", 63, 4, 7, 74
